date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:25	2508/2508	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Sep%202026%2004:45:25%20GMT	https://www.technorizen.com/robots.txt		(from )
10:15:25	108832/108832	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:25%20GMT	https://www.technorizen.com/	/Users/ravindrapal/websites/aaaa/www.technorizen.com/index.html	(from )
10:15:26	32452/32452	---M--	200	added ('OK')	image/webp	date:Wed,%2015%20Apr%202026%2009:56:34%20GMT	https://www.technorizen.com/public/html/web/images/banner2.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/banner2.webp	(from https://www.technorizen.com/)
10:15:27	5100/5100	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202026%2012:47:16%20GMT	https://www.technorizen.com/public/html/web/images/favicon.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/favicon.png	(from https://www.technorizen.com/)
10:15:27	232914/232914	---M-Z	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	/Users/ravindrapal/websites/aaaa/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://www.technorizen.com/)
10:15:27	1093050/1093050	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Jun%202026%2009:52:08%20GMT	https://www.technorizen.com/public/html/web/style.css	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/style.css	(from https://www.technorizen.com/)
10:15:28	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	/Users/ravindrapal/websites/aaaa/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://www.technorizen.com/)
10:15:28	26053/26053	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202026%2006:31:11%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	/Users/ravindrapal/websites/aaaa/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.technorizen.com/)
10:15:28	3145/3145	---M-Z	200	added ('OK')	text/css	etag:W/%22c49-gaQ0+U8rESTzIyu4bylE+C+yOsA%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	/Users/ravindrapal/websites/aaaa/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	(from https://www.technorizen.com/)
10:15:28	102526/102526	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2018:34:15%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	/Users/ravindrapal/websites/aaaa/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from https://www.technorizen.com/)
